CPF,Nome,Curso,Situação
713.406.598-75,Gustavo Henrique das Neves,Nisi,EM_CURSO
467.180.953-20,Fernanda das Neves,Alias,EM_CURSO
764.521.903-34,Dra. Luna Porto,Est,EM_CURSO
845.639.102-60,Lucca Araújo,Commodi,EM_CURSO
597.801.436-10,Vinicius Nascimento,Quo,EM_CURSO
178.604.295-94,Leonardo Oliveira,Voluptas,EM_CURSO
541.382.067-44,Ana Vitória da Paz,Soluta,EM_CURSO
012.957.683-21,Eduarda Ribeiro,Iusto,EM_CURSO
046.751.982-01,Luna Pereira,Dolorem,EM_CURSO
781.204.369-03,Isadora Alves,A,EM_CURSO
152.837.964-00,Manuela Silva,Consequatur,EM_CURSO
970.538.124-05,Yuri da Rocha,Odit,EM_CURSO
624.907.835-56,Otávio Sales,Nam,EM_CURSO
574.802.391-14,Daniela Silveira,Nostrum,EM_CURSO
802.567.491-67,Esther Moreira,Nobis,EM_CURSO
045.621.378-35,Laura Teixeira,Blanditiis,EM_CURSO
274.063.159-61,Davi Lucca Gomes,Eligendi,EM_CURSO
270.418.693-69,Otávio Silveira,Atque,EM_CURSO
085.621.739-59,João Guilherme Cunha,Doloremque,EM_CURSO
468.759.130-20,Dra. Júlia Vieira,Aspernatur,EM_CURSO
092.473.516-34,Srta. Emilly Sales,Repellat,EM_CURSO
560.324.781-90,Maria Luiza Correia,Cum,EM_CURSO
156.490.723-61,Rafael Mendes,Harum,EM_CURSO
213.590.847-97,Sr. Luiz Felipe Cavalcanti,Ducimus,EM_CURSO
426.798.013-69,Maria Fernanda Aragão,Corrupti,EM_CURSO
149.782.530-04,João Alves,Harum,EM_CURSO
018.369.254-33,Maria Duarte,Eveniet,EM_CURSO
214.876.350-44,Cecília Mendes,Sed,EM_CURSO
156.487.203-35,Ryan Monteiro,Vitae,EM_CURSO
531.864.729-46,Larissa Vieira,Atque,EM_CURSO
568.297.301-12,Brenda Souza,Ipsa,EM_CURSO
026.384.795-00,Kaique Cardoso,Placeat,EM_CURSO
918.073.542-88,Kevin Peixoto,Dolore,EM_CURSO
561.472.389-73,Srta. Stella Pereira,Quae,EM_CURSO
127.634.590-99,João Pedro Pires,Quasi,EM_CURSO
613.490.278-04,Rodrigo Fernandes,Earum,EM_CURSO
056.312.748-17,Dr. Pedro Miguel da Paz,Atque,EM_CURSO
685.129.304-89,Erick Nascimento,Sunt,EM_CURSO
547.169.032-06,João Guilherme da Paz,Saepe,EM_CURSO
403.129.756-43,Rafael Costa,Eligendi,EM_CURSO
742.950.163-06,Ana Clara Silva,Accusantium,EM_CURSO
157.264.309-99,Daniel Moura,Optio,EM_CURSO
894.371.206-50,Lara Barros,Veritatis,EM_CURSO
510.324.978-23,João Lucas Castro,Facilis,EM_CURSO
045.937.861-93,Larissa Souza,Excepturi,EM_CURSO
401.928.753-88,Pedro Henrique Farias,Dolores,EM_CURSO
410.358.972-88,Otávio Mendes,Numquam,EM_CURSO
605.783.491-75,Isis Azevedo,Earum,EM_CURSO
720.961.435-43,Emanuel Sales,Aliquam,EM_CURSO
148.769.305-20,Sr. Bernardo Castro,Omnis,EM_CURSO
597.623.841-64,Brenda Campos,Nostrum,EM_CURSO
613.248.709-31,Fernando Aragão,Vel,EM_CURSO
507.694.812-30,Sophia da Rosa,Quia,EM_CURSO
935.124.867-46,Kaique Caldeira,Quibusdam,EM_CURSO
168.495.320-06,Breno Moura,Quia,EM_CURSO
274.508.316-35,Sr. Davi Luiz Araújo,Commodi,EM_CURSO
429.067.183-78,Vitória Sales,Illo,EM_CURSO
185.423.790-04,Sra. Maria Clara Souza,Nihil,EM_CURSO
079.614.253-06,Yuri Ferreira,Iusto,EM_CURSO
786.540.312-71,Juan Cardoso,Doloribus,EM_CURSO
874.632.059-83,Camila Nascimento,Numquam,EM_CURSO
584.231.706-08,Maria Moraes,Molestiae,EM_CURSO
619.354.807-66,Maria Clara Nunes,Incidunt,EM_CURSO
367.941.052-25,Henrique Oliveira,Maxime,EM_CURSO
382.460.597-00,Sr. Luiz Fernando Viana,Omnis,EM_CURSO
047.518.963-93,Julia Fogaça,Provident,EM_CURSO
437.925.061-06,Sra. Ana Lopes,Error,EM_CURSO
816.739.524-37,Dr. Davi Jesus,Velit,EM_CURSO
517.098.324-79,Thales Cardoso,Totam,EM_CURSO
910.324.567-52,Danilo Ferreira,Repellat,EM_CURSO
837.905.162-95,Dra. Olivia da Rosa,Quam,EM_CURSO
806.392.754-00,Olivia Barbosa,Nobis,EM_CURSO
298.156.043-33,Guilherme Ferreira,Quasi,EM_CURSO
214.307.689-40,Enzo Gabriel Araújo,Excepturi,EM_CURSO
016.548.372-53,Maria da Paz,Error,EM_CURSO
317.569.482-91,João Guilherme Almeida,Illum,EM_CURSO
614.853.972-19,Yasmin Araújo,Explicabo,EM_CURSO
871.436.059-48,Lucas Gabriel Gonçalves,Porro,EM_CURSO
479.203.185-05,Sr. Bruno Oliveira,Omnis,EM_CURSO
894.610.372-87,Juliana Costela,Architecto,EM_CURSO
618.520.943-89,Gabriel Monteiro,Ea,EM_CURSO
370.289.164-13,João Gabriel Freitas,Minima,EM_CURSO
692.851.074-94,Sra. Stella Rocha,Voluptatem,EM_CURSO
284.391.756-55,Elisa Rocha,Incidunt,EM_CURSO
247.039.185-79,Samuel da Conceição,Quae,EM_CURSO
754.318.260-26,Nicole Vieira,Officia,EM_CURSO
653.921.487-19,Marina Costela,Dolorum,EM_CURSO
683.059.724-29,Luiza Gonçalves,Vero,EM_CURSO
453.026.981-70,Davi Luiz da Rosa,Dolorem,EM_CURSO
976.201.438-31,Pietra da Mata,Necessitatibus,EM_CURSO
739.540.128-04,Noah Freitas,Quo,EM_CURSO
372.154.908-23,Davi Lucca Jesus,Dignissimos,EM_CURSO
149.658.372-82,Pedro Lucas da Conceição,Corrupti,EM_CURSO
782.541.039-41,Srta. Sabrina Souza,Dicta,EM_CURSO
691.723.450-80,Thales da Mota,Dolor,EM_CURSO
598.243.170-23,Srta. Heloísa Caldeira,Quo,EM_CURSO
824.960.137-87,Isabelly Moura,Maxime,EM_CURSO
987.421.630-13,Helena Jesus,Sequi,EM_CURSO
524.639.710-61,Fernando Fogaça,Fugiat,EM_CURSO
583.601.247-44,Stephany Lima,Odio,EM_CURSO
369.582.147-73,Lara Novaes,Deleniti,EM_CURSO
746.380.125-07,Sr. Luiz Felipe Pinto,Rerum,EM_CURSO
892.764.053-56,Nicole Jesus,Unde,EM_CURSO
607.238.195-21,Maria Alice Monteiro,Qui,EM_CURSO
627.843.519-55,Gabriel Nunes,Porro,EM_CURSO
459.836.120-42,Sr. João Felipe Silveira,Cupiditate,EM_CURSO
350.841.697-66,Brenda Alves,Iste,EM_CURSO
035.428.169-06,Emilly Gonçalves,Nihil,EM_CURSO
547.169.283-73,Agatha da Luz,Vitae,EM_CURSO
857.621.394-09,Matheus Costela,Illum,EM_CURSO
938.740.512-50,Sr. Vitor Gabriel Castro,Commodi,EM_CURSO
820.314.756-90,Srta. Marina Jesus,Ab,EM_CURSO
563.170.942-25,Pedro Henrique Alves,Iste,EM_CURSO
210.697.534-16,Yago Jesus,Veniam,EM_CURSO
628.407.319-40,Danilo da Rosa,Qui,EM_CURSO
724.985.061-01,Maria Fernanda Dias,Libero,EM_CURSO
654.308.291-70,Luna Oliveira,Ipsum,EM_CURSO
426.173.598-91,Dra. Maria Sophia Almeida,Quidem,EM_CURSO
982.507.416-76,Thomas Melo,Ipsa,EM_CURSO
734.502.681-71,Alana das Neves,Dolore,EM_CURSO
832.567.194-73,Amanda Sales,Similique,EM_CURSO
835.470.269-38,Ana Lívia Pires,Omnis,EM_CURSO
056.479.132-61,Sr. Gustavo Costa,Vero,EM_CURSO
063.712.485-53,Gustavo Peixoto,Provident,EM_CURSO
982.504.761-58,Guilherme Pires,Nulla,EM_CURSO
637.025.418-53,Agatha Silva,Temporibus,EM_CURSO
598.234.071-50,Dr. Isaac da Luz,Similique,EM_CURSO
872.539.604-83,João Vitor Nogueira,Labore,EM_CURSO
542.610.378-07,Melissa Correia,Aliquam,EM_CURSO
183.562.079-59,João Miguel Dias,Voluptas,EM_CURSO
768.035.492-83,Vitor Gabriel Porto,Mollitia,EM_CURSO
108.429.763-96,Nina Sales,Enim,EM_CURSO
625.081.947-94,Vitor Hugo Carvalho,Ut,EM_CURSO
760.248.953-56,Marina Sales,Quos,EM_CURSO
182.940.567-58,João Pedro Cavalcanti,Atque,EM_CURSO
042.751.839-32,Eloah Pereira,Culpa,EM_CURSO
295.164.370-52,Augusto da Cunha,Repellat,EM_CURSO
083.926.471-22,Dr. Davi Lucca Carvalho,Rem,EM_CURSO
493.182.670-96,Marcelo Alves,Illo,EM_CURSO
472.513.860-62,Alexandre Silveira,Quibusdam,EM_CURSO
209.345.186-70,Sra. Raquel Monteiro,Odit,EM_CURSO
938.460.152-70,João Lucas Ferreira,Beatae,EM_CURSO
254.370.198-23,Raul Barbosa,Dignissimos,EM_CURSO
310.456.879-01,João Lucas Caldeira,Excepturi,EM_CURSO
019.364.572-61,Pedro Peixoto,Labore,EM_CURSO
602.931.458-06,Julia da Costa,Delectus,EM_CURSO
025.463.871-62,Srta. Cecília Nascimento,Nesciunt,EM_CURSO
954.260.318-51,Valentina Castro,Ex,EM_CURSO
324.071.586-44,Sophia Lopes,Temporibus,EM_CURSO
019.284.536-51,Luigi Martins,Ea,EM_CURSO
590.381.426-33,Emanuel Peixoto,Quidem,EM_CURSO
287.364.915-19,Alexandre Pinto,Corporis,EM_CURSO
780.529.314-79,Ana Martins,Magnam,EM_CURSO
682.435.970-00,João Lucas Fogaça,Nisi,EM_CURSO
594.713.802-60,Luiz Otávio da Costa,Aperiam,EM_CURSO
826.037.914-78,Stephany Costa,Neque,EM_CURSO
963.701.524-80,Yuri Gonçalves,Tempora,EM_CURSO
483.091.657-57,Amanda da Luz,Sapiente,EM_CURSO
785.326.910-21,Maysa Novaes,Architecto,EM_CURSO
