CPF,Nome_SISTEC,Curso_SISTEC,Nome_SIGAA,Curso_SIGAA,Tipo_Diferenca
028.973.164-03,Calebe Novaes,pariatur,Luiza Campos,Similique,Cursos_Diferentes
135.027.948-04,Beatriz Ribeiro,ullam,Ana Carolina Cardoso,Quaerat,Cursos_Diferentes
781.946.250-76,Danilo da Mata,veritatis,Larissa Cunha,Veniam,Cursos_Diferentes
760.284.913-22,Raul Barbosa,facere,Alexia Lopes,Dicta,Cursos_Diferentes
217.598.643-82,Julia Martins,atque,Gabriela Castro,Voluptatibus,Cursos_Diferentes
572.801.639-12,Luiza Farias,quod,Lívia Moura,Praesentium,Cursos_Diferentes
463.295.708-92,Benício Porto,aperiam,Sra. Isabel Barros,Quam,Cursos_Diferentes
837.195.024-14,Dr. Luiz Fernando Fogaça,saepe,Sr. Cauê Cardoso,Unde,Cursos_Diferentes
792.815.063-86,Kevin das Neves,omnis,Francisco Cunha,Perspiciatis,Cursos_Diferentes
086.471.532-35,João Pedro Dias,dolor,Larissa Mendes,Quis,Cursos_Diferentes
735.904.216-06,Maysa Ferreira,occaecati,Dr. Davi Lucca Lima,Dolorum,Cursos_Diferentes
850.742.319-14,Alice da Paz,repellendus,Julia Silveira,Earum,Cursos_Diferentes
065.894.713-39,Eduardo Alves,nam,Alexia da Cunha,Earum,Cursos_Diferentes
241.985.306-70,Yuri Silveira,magnam,Sra. Larissa Viana,Facere,Cursos_Diferentes
903.687.251-03,Marcos Vinicius da Rocha,expedita,Helena Souza,Itaque,Cursos_Diferentes
642.890.517-58,Leandro Nogueira,laborum,Ana Júlia da Mota,Veniam,Cursos_Diferentes
105.326.849-15,Danilo da Cruz,natus,Srta. Bárbara Nascimento,Doloremque,Cursos_Diferentes
624.309.581-98,João Lucas Correia,perspiciatis,Maysa Silveira,Et,Cursos_Diferentes
210.946.853-05,Davi Lucca Barbosa,ex,Alana Jesus,Inventore,Cursos_Diferentes
648.253.917-37,Ana Beatriz Teixeira,laborum,Danilo Vieira,Reiciendis,Cursos_Diferentes
364.028.719-31,Sr. Danilo Novaes,dolor,Srta. Maitê Cardoso,Vel,Cursos_Diferentes
254.378.190-05,Vinicius Nunes,sint,João Felipe Fogaça,Dignissimos,Cursos_Diferentes
920.645.817-58,Fernando Monteiro,ab,Sr. Raul Ferreira,Est,Cursos_Diferentes
295.780.143-41,Luiz Miguel Moura,necessitatibus,Elisa Jesus,Asperiores,Cursos_Diferentes
729.145.038-14,Lorenzo Rezende,nam,Maria Clara das Neves,Perferendis,Cursos_Diferentes
196.204.873-03,Letícia Alves,totam,Bernardo Ribeiro,Recusandae,Cursos_Diferentes
975.280.436-56,Mariane Lopes,veritatis,Gustavo da Mata,Rem,Cursos_Diferentes
240.715.869-58,Cauã Peixoto,dicta,Ana Lívia Cunha,Possimus,Cursos_Diferentes
423.508.169-15,Bruno das Neves,esse,Daniela Duarte,Reprehenderit,Cursos_Diferentes
548.937.601-57,Letícia Nogueira,nam,Sra. Maria Eduarda Gomes,Maxime,Cursos_Diferentes
413.097.826-87,Rebeca das Neves,repellat,Isabel Porto,Minima,Cursos_Diferentes
208.931.647-04,Eloah Jesus,laborum,Maria Alice Caldeira,Laboriosam,Cursos_Diferentes
678.342.519-37,Felipe Dias,perspiciatis,Dr. Arthur Cunha,Cum,Cursos_Diferentes
249.680.375-38,Davi Luiz Ferreira,deserunt,Lorenzo Moreira,Numquam,Cursos_Diferentes
730.412.985-97,Gabriela da Rosa,praesentium,Laís Ferreira,Eveniet,Cursos_Diferentes
876.312.459-91,Srta. Nicole Moreira,modi,Heitor Moraes,Reprehenderit,Cursos_Diferentes
593.748.026-00,Ana Vitória da Cruz,nisi,Matheus Fernandes,Corrupti,Cursos_Diferentes
473.592.680-10,Renan Duarte,praesentium,Rafael Viana,Earum,Cursos_Diferentes
037.254.816-44,Antônio Rezende,asperiores,Isabella Rocha,Numquam,Cursos_Diferentes
340.682.579-65,Bruno Freitas,reiciendis,Cauã da Rosa,Veritatis,Cursos_Diferentes
176.903.528-12,André Caldeira,tenetur,Natália da Rosa,Quos,Cursos_Diferentes
604.581.239-51,Sr. Diogo da Rocha,odit,Thomas Melo,Dignissimos,Cursos_Diferentes
145.096.782-58,Luiz Henrique Rezende,optio,Beatriz Fernandes,Omnis,Cursos_Diferentes
502.319.786-77,Sr. Heitor Fernandes,quisquam,Miguel da Rocha,Odio,Cursos_Diferentes
087.261.493-03,Dra. Raquel da Costa,adipisci,Vitor Gabriel Gomes,Saepe,Cursos_Diferentes
508.273.194-79,Erick Cunha,aspernatur,Lorena Pires,Repudiandae,Cursos_Diferentes
460.123.598-70,Alícia Correia,ea,Joaquim Mendes,Consectetur,Cursos_Diferentes
645.780.932-47,Srta. Carolina Monteiro,sequi,Mirella Lima,Sunt,Cursos_Diferentes
832.409.176-96,Isabel Barros,pariatur,Emanuelly Pereira,Nihil,Cursos_Diferentes
854.132.097-97,Clara Melo,dolore,Caio Gonçalves,Harum,Cursos_Diferentes
650.819.273-68,Luiz Fernando Teixeira,non,Juan da Rocha,Debitis,Cursos_Diferentes
712.863.459-28,Dra. Bárbara Peixoto,doloribus,Luana Nunes,Corporis,Cursos_Diferentes
270.439.815-14,Rebeca Rocha,magni,Yuri Lima,Nulla,Cursos_Diferentes
245.896.107-01,Dr. Anthony Pereira,ipsum,Maria Cecília Teixeira,Laborum,Cursos_Diferentes
039.857.261-59,Yuri da Costa,mollitia,Sr. Yago Lopes,Unde,Cursos_Diferentes
721.563.409-43,Clara Cardoso,molestias,Cauê Ribeiro,Animi,Cursos_Diferentes
185.679.234-09,Emanuel da Rosa,id,Helena Cavalcanti,Voluptatem,Cursos_Diferentes
526.198.043-70,Rebeca Campos,asperiores,Sr. Lucca Rezende,Natus,Cursos_Diferentes
506.923.481-15,Thiago Araújo,inventore,Srta. Maria Porto,Tenetur,Cursos_Diferentes
690.841.253-98,Rafael Duarte,veniam,Sr. Leonardo da Mata,Dicta,Cursos_Diferentes
387.092.651-12,Bernardo Aragão,sunt,Sr. Theo Almeida,Iure,Cursos_Diferentes
260.173.954-16,Maria Julia Dias,eveniet,Sarah da Paz,Occaecati,Cursos_Diferentes
186.975.234-19,Ana Luiza Fernandes,molestias,Thomas Araújo,Culpa,Cursos_Diferentes
625.314.879-64,Eduardo Moreira,recusandae,Marcela Carvalho,Corrupti,Cursos_Diferentes
793.058.214-05,Luiz Felipe Nunes,voluptate,Clara da Paz,Aut,Cursos_Diferentes
430.582.791-32,Dr. João Lucas Viana,cumque,Erick Campos,Ipsam,Cursos_Diferentes
764.023.815-35,Luna Carvalho,error,Maria Eduarda da Cruz,Ipsam,Cursos_Diferentes
280.579.146-02,Nathan Cavalcanti,quam,Sr. Samuel Ribeiro,Assumenda,Cursos_Diferentes
614.859.732-28,Arthur da Conceição,sed,Luiz Felipe Cavalcanti,A,Cursos_Diferentes
076.521.438-53,Isabella Alves,fugiat,Lara Fogaça,Ut,Cursos_Diferentes
834.657.210-71,Antônio Moura,molestias,Julia Barros,Nobis,Cursos_Diferentes
806.175.429-02,Carlos Eduardo da Luz,necessitatibus,Pietro Rezende,Perspiciatis,Cursos_Diferentes
938.417.062-31,Kaique da Rosa,ex,Anthony Aragão,Dolore,Cursos_Diferentes
938.276.451-82,Guilherme da Rosa,harum,Daniel Lopes,Nemo,Cursos_Diferentes
217.365.890-59,João Gabriel da Mota,alias,Theo Nogueira,Eligendi,Cursos_Diferentes
947.851.630-20,Maria Luiza da Rocha,aliquid,Dra. Marcela Melo,Qui,Cursos_Diferentes
438.279.150-23,Srta. Beatriz Gonçalves,iste,João Pedro da Mata,Fuga,Cursos_Diferentes
702.168.394-40,Isadora da Rocha,corrupti,Igor Aragão,Et,Cursos_Diferentes
180.524.679-85,Davi Dias,reprehenderit,Marcela Araújo,Eligendi,Cursos_Diferentes
203.581.796-02,Stella Campos,voluptatibus,Lorena Costa,Impedit,Cursos_Diferentes
765.943.810-75,Sofia Moreira,dolorem,Nicolas da Conceição,Repellendus,Cursos_Diferentes
192.508.674-76,Maria Cecília Viana,reprehenderit,Dr. Theo da Rosa,Cumque,Cursos_Diferentes
493.207.518-97,Eduardo Alves,qui,Srta. Maria Julia Ferreira,Laboriosam,Cursos_Diferentes
629.043.581-70,Maria Fernanda Peixoto,nulla,Vicente Fogaça,Officia,Cursos_Diferentes
307.248.965-38,Emanuel Carvalho,sit,Sr. Enrico Santos,Quaerat,Cursos_Diferentes
361.978.524-46,Júlia da Cunha,necessitatibus,Ana Sophia Rocha,Commodi,Cursos_Diferentes
096.382.175-02,Júlia Ribeiro,praesentium,Pedro Henrique Gomes,Rerum,Cursos_Diferentes
056.819.274-58,Bianca Pires,fugiat,Vitória Jesus,Alias,Cursos_Diferentes
508.471.263-07,Enzo Monteiro,magni,Cauê Cunha,Facilis,Cursos_Diferentes
690.384.217-96,Stella Ramos,repudiandae,Ana Clara Silva,Nobis,Cursos_Diferentes
980.237.145-97,Theo Aragão,fugit,Yuri Pereira,Repudiandae,Cursos_Diferentes
742.683.051-90,Sr. Diego Barbosa,iste,Augusto Sales,Dicta,Cursos_Diferentes
691.437.852-55,Luiz Fernando Cunha,reiciendis,Rafaela Sales,Ipsa,Cursos_Diferentes
832.075.461-53,Eduarda Cunha,deleniti,Erick Nascimento,Beatae,Cursos_Diferentes
971.653.082-02,Renan Cunha,mollitia,Henrique Cardoso,Similique,Cursos_Diferentes
134.789.056-48,Diego Nascimento,eum,Levi Rezende,Qui,Cursos_Diferentes
061.738.529-77,Srta. Alícia Correia,neque,Brenda Carvalho,Beatae,Cursos_Diferentes
016.293.548-05,Enzo Dias,ad,Juan Silveira,Fuga,Cursos_Diferentes
035.712.684-07,Sr. Davi Moreira,debitis,Valentina Souza,Commodi,Cursos_Diferentes
243.610.975-34,Larissa Freitas,nihil,Calebe Cardoso,Repudiandae,Cursos_Diferentes
205.931.784-32,Dra. Nicole Aragão,voluptatum,Juan Vieira,Minima,Cursos_Diferentes
957.218.640-01,Stephany Novaes,doloremque,Sr. Isaac Peixoto,Omnis,Cursos_Diferentes
531.678.492-82,Dr. Marcelo Silva,modi,Henrique Azevedo,Dolore,Cursos_Diferentes
409.673.521-34,Pedro Miguel da Cruz,at,Miguel Souza,In,Cursos_Diferentes
816.204.793-03,Juan Dias,quo,Felipe Araújo,Omnis,Cursos_Diferentes
986.215.370-95,Dra. Lara Costela,veniam,Srta. Emilly Ferreira,Natus,Cursos_Diferentes
791.850.632-40,Isabella Nogueira,asperiores,Laura Costa,Praesentium,Cursos_Diferentes
164.789.502-20,Bruna Nascimento,maxime,Eduardo da Conceição,Repellat,Cursos_Diferentes
752.390.618-40,Gabriela Fogaça,blanditiis,Alícia Moraes,Cumque,Cursos_Diferentes
093.846.172-96,João Felipe Fernandes,quam,Ana Júlia da Cunha,Doloribus,Cursos_Diferentes
239.450.786-10,Cauã Porto,quia,Cauê da Conceição,Repudiandae,Cursos_Diferentes
234.675.019-07,Daniel Azevedo,labore,Dr. João Guilherme da Cruz,Eius,Cursos_Diferentes
582.371.469-64,Henrique Santos,sunt,Sra. Julia Cardoso,Nisi,Cursos_Diferentes
896.045.213-06,Lucca das Neves,porro,Lívia Melo,Ea,Cursos_Diferentes
658.417.293-73,Miguel Lima,asperiores,Srta. Lívia Pinto,Doloremque,Cursos_Diferentes
490.683.175-39,Milena Aragão,libero,Maria Vitória Caldeira,Fuga,Cursos_Diferentes
547.163.892-19,Maitê Gonçalves,dolorum,Amanda Ribeiro,Est,Cursos_Diferentes
185.369.204-24,Luiz Fernando Rocha,adipisci,Sr. Lucas Gabriel Moreira,Exercitationem,Cursos_Diferentes
450.372.698-65,Gustavo Cardoso,pariatur,Diego Teixeira,Voluptatum,Cursos_Diferentes
501.287.693-86,Nicolas Correia,voluptatem,Sr. Davi Ribeiro,Fugit,Cursos_Diferentes
105.829.374-50,Luana Araújo,illo,Luigi Ribeiro,Nostrum,Cursos_Diferentes
648.015.327-80,Sra. Camila Cunha,mollitia,Laís Cardoso,Provident,Cursos_Diferentes
519.842.763-28,Isis Fernandes,quis,Sra. Rafaela Moreira,Sint,Cursos_Diferentes
568.049.723-92,Maitê Barros,suscipit,Isabella Ramos,Minima,Cursos_Diferentes
956.824.170-11,Dra. Maria Eduarda Santos,accusantium,Letícia da Cruz,Consequatur,Cursos_Diferentes
872.314.509-97,Yuri da Costa,animi,Dra. Maria Vitória Dias,Nobis,Cursos_Diferentes
581.632.479-91,Sr. Luiz Otávio Oliveira,soluta,Dr. Fernando da Rocha,Eum,Cursos_Diferentes
217.930.458-79,Sr. Marcos Vinicius Ferreira,sapiente,Vitor Gabriel Azevedo,Ab,Cursos_Diferentes
173.459.628-73,Caroline Costela,illo,Bruno Gonçalves,Odio,Cursos_Diferentes
068.547.239-65,Emilly Ribeiro,voluptatibus,Dr. Enrico Peixoto,Autem,Cursos_Diferentes
821.063.745-26,Anthony Alves,amet,Maysa Sales,Cumque,Cursos_Diferentes
867.041.923-87,Emanuel Dias,quisquam,Beatriz Viana,Molestias,Cursos_Diferentes
487.293.561-64,Vicente Sales,quo,Emilly da Luz,Asperiores,Cursos_Diferentes
356.489.102-15,Natália Peixoto,eligendi,Carolina Araújo,Molestias,Cursos_Diferentes
523.860.791-12,Alice Jesus,neque,Dr. André Cardoso,Laboriosam,Cursos_Diferentes
653.708.419-93,Rodrigo Cardoso,incidunt,Brenda da Cruz,Error,Cursos_Diferentes
218.305.964-89,João Teixeira,vitae,Sr. Pedro Lucas Almeida,Magnam,Cursos_Diferentes
283.695.701-86,Giovanna das Neves,ipsum,Thales Novaes,Facilis,Cursos_Diferentes
250.164.873-08,Ana Sophia Mendes,laudantium,Sra. Luana Costela,Nemo,Cursos_Diferentes
463.950.821-24,Leonardo da Mata,deserunt,Emilly Alves,Harum,Cursos_Diferentes
823.469.715-37,Maria Sophia da Luz,mollitia,Larissa Souza,Dolor,Cursos_Diferentes
527.064.318-90,Rodrigo da Rocha,soluta,Bryan Alves,Nisi,Cursos_Diferentes
219.786.530-77,Maria Luiza Cavalcanti,cumque,Maria Vieira,Eligendi,Cursos_Diferentes
179.684.325-37,Nathan Duarte,et,Natália Novaes,Perferendis,Cursos_Diferentes
817.034.295-32,Dr. João Lucas Freitas,accusamus,Vinicius Castro,Similique,Cursos_Diferentes
830.249.675-83,Renan Castro,veniam,Alice Cardoso,Libero,Cursos_Diferentes
396.247.801-96,Sra. Maria Julia Duarte,magni,Clarice Melo,Harum,Cursos_Diferentes
821.309.654-15,Gabrielly Gonçalves,nulla,Gabriela Aragão,Numquam,Cursos_Diferentes
258.093.761-77,Matheus Fernandes,ullam,Kamilly da Luz,Libero,Cursos_Diferentes
679.520.813-30,João Rezende,sint,Pietro Nascimento,Iusto,Cursos_Diferentes
603.849.752-83,Gustavo Araújo,iste,Catarina Barros,Deserunt,Cursos_Diferentes
647.135.092-99,Pedro Lucas da Cunha,aspernatur,Yasmin Fogaça,Laborum,Cursos_Diferentes
402.385.796-38,Benjamin Costela,possimus,Cauã Melo,Enim,Cursos_Diferentes
571.984.603-48,Srta. Gabrielly Moraes,saepe,Davi Lucas Pires,Ab,Cursos_Diferentes
159.086.473-57,Thiago Moura,repellat,Lorena Nunes,Quam,Cursos_Diferentes
261.093.784-96,Sr. Vitor Gabriel da Conceição,neque,Ana Cunha,Necessitatibus,Cursos_Diferentes
563.148.702-08,Sr. Thiago Sales,quod,Dra. Ana Laura Cardoso,Eos,Cursos_Diferentes
762.385.049-00,Heitor Nunes,veniam,Lívia Lima,Occaecati,Cursos_Diferentes
309.176.258-03,Maysa da Cunha,possimus,Alícia Cardoso,Tenetur,Cursos_Diferentes
421.579.063-80,Emanuel da Cruz,mollitia,Theo Vieira,Sed,Cursos_Diferentes
632.804.597-29,Davi Lucca Cavalcanti,delectus,Lorena Cavalcanti,Exercitationem,Cursos_Diferentes
503.289.461-33,Breno Freitas,fugit,Srta. Letícia Jesus,Necessitatibus,Cursos_Diferentes
861.539.470-93,Luiz Miguel Moraes,praesentium,Dra. Emanuelly Fernandes,Officia,Cursos_Diferentes
452.970.613-34,Ana Luiza Peixoto,debitis,Benjamin da Mota,Culpa,Cursos_Diferentes
046.825.917-11,Sra. Luana Silveira,voluptatum,Igor Freitas,Reiciendis,Cursos_Diferentes
206.843.791-04,Raul da Cunha,distinctio,Vicente da Conceição,Ullam,Cursos_Diferentes
478.062.351-08,Cecília Freitas,molestiae,Srta. Clara Ferreira,Expedita,Cursos_Diferentes
672.809.354-00,Heitor Farias,accusamus,Alexia Porto,Officia,Cursos_Diferentes
185.347.926-82,Srta. Laís Campos,vero,Yago Carvalho,Quam,Cursos_Diferentes
185.364.920-15,Srta. Natália Castro,beatae,João Gabriel Campos,Amet,Cursos_Diferentes
461.057.832-80,Luna Nogueira,voluptate,Noah da Cunha,Sit,Cursos_Diferentes
092.836.147-04,Maitê Carvalho,excepturi,Emanuelly Teixeira,Explicabo,Cursos_Diferentes
783.410.692-96,Ana Laura Moura,nam,Helena Cardoso,Culpa,Cursos_Diferentes
078.326.195-03,Sr. Carlos Eduardo Costa,voluptatibus,Milena Dias,Earum,Cursos_Diferentes
802.473.615-26,Fernanda da Rosa,perspiciatis,Luiz Fernando Nogueira,Officia,Cursos_Diferentes
470.653.291-43,Giovanna Fernandes,aliquam,Isabel Cunha,Quisquam,Cursos_Diferentes
329.547.806-65,Sr. Lorenzo Carvalho,ab,Dr. Thiago Vieira,Consequatur,Cursos_Diferentes
085.716.423-62,Lívia Freitas,architecto,Dr. João Lucas Martins,Officiis,Cursos_Diferentes
904.368.271-31,Lucas Gabriel Pires,eius,Sofia Pires,Molestiae,Cursos_Diferentes
