CPF,Matrícula,Nome,Email,Curso,Status
560.324.781-90,58669713,Otávio Rocha,da-motamatheus@ig.com.br,Cum,Trancado
156.490.723-61,16259256,Enrico Ribeiro,goncalvesjulia@ig.com.br,Harum,Inativo
213.590.847-97,15003041,Lucas Gabriel Ramos,kaiquenunes@sales.br,Ducimus,Trancado
426.798.013-69,43018875,Dra. Sabrina Aragão,otavio84@goncalves.com,Corrupti,Ativo
149.782.530-04,22342351,Kevin Ribeiro,cunhayago@rezende.br,Harum,Inativo
018.369.254-33,99423620,Catarina Caldeira,rodrigo96@ig.com.br,Eveniet,Inativo
214.876.350-44,31777096,Eduarda Teixeira,davi-lucas46@porto.br,Sed,Trancado
156.487.203-35,86458617,Bruna das Neves,opereira@goncalves.com,Vitae,Ativo
531.864.729-46,45204554,Kamilly Rocha,joao-pedro15@dias.com,Atque,Trancado
568.297.301-12,68737315,Giovanna Campos,rfarias@yahoo.com.br,Ipsa,Trancado
026.384.795-00,16213871,Daniel Cardoso,vitoria29@barbosa.com,Placeat,Inativo
918.073.542-88,65670710,Juliana Peixoto,barroslaura@ig.com.br,Dolore,Ativo
561.472.389-73,28553654,Vitor Hugo Aragão,luiz-gustavomoreira@yahoo.com.br,Quae,Inativo
127.634.590-99,91102314,Nathan Moreira,brendacardoso@silveira.br,Quasi,Trancado
613.490.278-04,57811112,Beatriz Gonçalves,bmoura@nascimento.com,Earum,Ativo
056.312.748-17,48420626,Yago Cunha,moraesluiz-otavio@uol.com.br,Atque,Ativo
685.129.304-89,22720401,Rafaela Cardoso,luccacaldeira@bol.com.br,Sunt,Ativo
547.169.032-06,56869541,Esther da Conceição,ribeiroenzo@silva.br,Saepe,Inativo
403.129.756-43,66373371,Brenda Lopes,arthur63@ig.com.br,Eligendi,Ativo
742.950.163-06,10275974,Rodrigo Santos,isabelteixeira@yahoo.com.br,Accusantium,Inativo
157.264.309-99,25745070,Elisa Souza,rmoraes@ferreira.com,Optio,Trancado
894.371.206-50,49614316,Isaac da Cunha,fcunha@gmail.com,Veritatis,Trancado
510.324.978-23,24686226,Vitória Melo,enzo34@da.br,Facilis,Inativo
045.937.861-93,71140092,Ana Júlia Jesus,diegoda-conceicao@gmail.com,Excepturi,Trancado
401.928.753-88,59089564,Helena Freitas,zpeixoto@bol.com.br,Dolores,Ativo
410.358.972-88,90632779,Mirella Araújo,ana-vitoriada-mota@cunha.net,Numquam,Inativo
605.783.491-75,74514362,Enrico Costela,raulda-rosa@yahoo.com.br,Earum,Trancado
720.961.435-43,43104822,Davi Lucas Aragão,elisa26@ferreira.org,Aliquam,Ativo
148.769.305-20,37756263,Sr. Yago Duarte,joao-guilherme26@vieira.br,Omnis,Inativo
597.623.841-64,39164506,Sr. Davi Lucas Mendes,heloisa83@ig.com.br,Nostrum,Ativo
613.248.709-31,22317814,Larissa das Neves,emanueljesus@gmail.com,Vel,Ativo
507.694.812-30,16235558,Pietra da Paz,ana-laura96@martins.com,Quia,Inativo
935.124.867-46,75836909,Catarina Araújo,catarinarodrigues@hotmail.com,Quibusdam,Ativo
168.495.320-06,56746547,Lívia Farias,joao-vitorcostela@hotmail.com,Quia,Trancado
274.508.316-35,54752336,Heitor Azevedo,zpinto@melo.net,Commodi,Trancado
429.067.183-78,49285947,Luana Lopes,ana-vitoriada-paz@bol.com.br,Illo,Trancado
185.423.790-04,14905299,Murilo Moura,vitor-gabriel42@ig.com.br,Nihil,Trancado
079.614.253-06,39375468,Lara Ribeiro,sarah90@hotmail.com,Iusto,Ativo
786.540.312-71,48919652,Ana Carolina Martins,jdas-neves@rocha.com,Doloribus,Inativo
874.632.059-83,96758693,Marcelo Fogaça,davi72@ig.com.br,Numquam,Trancado
584.231.706-08,37999470,Pietro Nunes,jnovaes@nunes.net,Molestiae,Ativo
619.354.807-66,66537440,Camila Jesus,sophia66@fogaca.br,Incidunt,Ativo
367.941.052-25,36231322,Sr. Gustavo Henrique Vieira,ana-beatriz49@dias.com,Maxime,Ativo
382.460.597-00,85002182,Bianca Carvalho,da-conceicaomaria-julia@gomes.net,Omnis,Trancado
047.518.963-93,48439456,Diogo Vieira,brendacardoso@da.br,Provident,Ativo
437.925.061-06,44572885,Sra. Amanda Teixeira,jbarbosa@nascimento.com,Error,Trancado
816.739.524-37,15998254,Enzo Gabriel Barbosa,castrovitor@hotmail.com,Velit,Ativo
517.098.324-79,28652809,Nina Araújo,zmoreira@bol.com.br,Totam,Ativo
910.324.567-52,10875991,Pedro Moura,vinicius29@hotmail.com,Repellat,Trancado
837.905.162-95,56549711,Rodrigo Jesus,ida-luz@porto.br,Quam,Ativo
806.392.754-00,55831341,Dra. Eloah Carvalho,gustavobarros@da.br,Nobis,Trancado
298.156.043-33,72802293,Joaquim Lopes,thales98@hotmail.com,Quasi,Ativo
214.307.689-40,91164828,Thiago Rocha,camposeduarda@nascimento.com,Excepturi,Ativo
016.548.372-53,88041289,Dr. Arthur Fernandes,teixeirahelena@da.com,Error,Inativo
317.569.482-91,92387209,Sr. Gustavo Melo,moreiraanthony@pereira.br,Illum,Ativo
614.853.972-19,72849653,Vitor Gabriel Oliveira,ida-rocha@yahoo.com.br,Explicabo,Ativo
871.436.059-48,19682354,Gustavo Henrique Correia,souzalorenzo@yahoo.com.br,Porro,Trancado
479.203.185-05,52483888,Sofia Silveira,luiza56@da.com,Omnis,Inativo
894.610.372-87,77489534,Fernanda Nascimento,rfarias@bol.com.br,Architecto,Inativo
618.520.943-89,97694022,Nina Costa,beatrizsantos@gmail.com,Ea,Ativo
370.289.164-13,41296161,Sophie da Cunha,emanuellylima@uol.com.br,Minima,Inativo
692.851.074-94,10233544,Dr. João Guilherme da Mota,raquel39@gmail.com,Voluptatem,Trancado
284.391.756-55,58277709,Fernando Azevedo,diassamuel@nunes.com,Incidunt,Trancado
247.039.185-79,16596218,Yuri Cunha,carvalhoagatha@souza.com,Quae,Ativo
754.318.260-26,28829709,Raquel Jesus,vicente63@nogueira.com,Officia,Ativo
653.921.487-19,49109574,Marcelo Porto,moreirabenicio@sales.com,Dolorum,Ativo
683.059.724-29,80447031,Melissa Correia,valentina04@gmail.com,Vero,Inativo
453.026.981-70,20021357,Stella Ferreira,portobrenda@bol.com.br,Dolorem,Trancado
976.201.438-31,59108247,Raquel Lima,qteixeira@hotmail.com,Necessitatibus,Trancado
739.540.128-04,76431121,Luna Ferreira,da-paznina@vieira.com,Quo,Trancado
372.154.908-23,20269927,Thiago Castro,noah50@castro.br,Dignissimos,Inativo
149.658.372-82,71836597,Isabelly Caldeira,lorenzoaragao@bol.com.br,Corrupti,Ativo
782.541.039-41,23848683,Alana Moreira,njesus@alves.com,Dicta,Trancado
691.723.450-80,43016768,Ana Julia Lima,iduarte@nunes.com,Dolor,Inativo
598.243.170-23,57428290,Cauã das Neves,kda-rocha@sales.br,Quo,Inativo
824.960.137-87,53946120,Heitor Fernandes,esther80@uol.com.br,Maxime,Trancado
987.421.630-13,84586078,Dr. Rafael da Rocha,evelynpires@ig.com.br,Sequi,Ativo
524.639.710-61,62741480,Enzo Gabriel Freitas,fda-rocha@gmail.com,Fugiat,Inativo
583.601.247-44,79476745,Manuela Barros,saleselisa@novaes.org,Odio,Ativo
369.582.147-73,25526040,Dr. Erick Fernandes,sabrinanascimento@yahoo.com.br,Deleniti,Ativo
746.380.125-07,52361629,Sarah Viana,marianefreitas@gmail.com,Rerum,Ativo
892.764.053-56,82542818,Eduarda Moreira,jramos@jesus.com,Unde,Trancado
607.238.195-21,61938755,Noah Nogueira,nogueirastella@ig.com.br,Qui,Inativo
627.843.519-55,24413961,Rafael Ramos,vieiraisabella@yahoo.com.br,Porro,Trancado
459.836.120-42,65582121,Sr. Anthony Silveira,rafaelnovaes@da.br,Cupiditate,Inativo
350.841.697-66,57187743,Gustavo Henrique Rocha,enzoda-conceicao@almeida.br,Iste,Ativo
035.428.169-06,24606364,Dr. Guilherme Moraes,manuela52@hotmail.com,Nihil,Trancado
547.169.283-73,19012838,João Felipe Rezende,urezende@yahoo.com.br,Vitae,Trancado
857.621.394-09,76348313,Maria Fernanda Ribeiro,peixotolara@martins.org,Illum,Ativo
938.740.512-50,54826160,Isaac Lima,maria-sophiarezende@da.com,Commodi,Inativo
820.314.756-90,74486763,Lavínia Nunes,sabrina78@gmail.com,Ab,Trancado
563.170.942-25,25113902,Anthony Duarte,fda-rocha@novaes.com,Iste,Ativo
210.697.534-16,60072698,Bárbara Castro,mendeslucas@porto.net,Veniam,Inativo
628.407.319-40,72860841,Ana Lívia Melo,nda-cunha@gmail.com,Qui,Trancado
724.985.061-01,62312249,Olivia Rocha,sabrina79@uol.com.br,Libero,Inativo
654.308.291-70,76287566,Sophie Lima,franciscoda-costa@novaes.br,Ipsum,Inativo
426.173.598-91,58036301,Larissa Nunes,goncalvesjoao@hotmail.com,Quidem,Ativo
982.507.416-76,82456510,Clara da Cruz,hgomes@da.br,Ipsa,Trancado
734.502.681-71,93379715,Ana Viana,oliviacunha@yahoo.com.br,Dolore,Trancado
832.567.194-73,70459708,Thales Castro,ifarias@da.com,Similique,Ativo
835.470.269-38,30806047,Dra. Isadora Santos,ebarros@uol.com.br,Omnis,Trancado
056.479.132-61,42601243,Ana Clara Caldeira,oliveiramaria-eduarda@uol.com.br,Vero,Ativo
063.712.485-53,43668487,Isabelly da Conceição,pietro31@mendes.br,Provident,Trancado
982.504.761-58,71924767,Sr. Benjamin Alves,maitealves@gmail.com,Nulla,Inativo
637.025.418-53,32163671,Thales Costela,silveiracaroline@da.net,Temporibus,Ativo
598.234.071-50,47754774,Giovanna Moura,maite68@gmail.com,Similique,Inativo
872.539.604-83,69603623,Dra. Ana Clara Porto,igorcosta@peixoto.com,Labore,Ativo
542.610.378-07,46474914,Maria Cecília Cardoso,lavinianunes@yahoo.com.br,Aliquam,Trancado
183.562.079-59,99112780,Dr. João Felipe Barbosa,andreramos@hotmail.com,Voluptas,Inativo
768.035.492-83,80235590,Clara da Cunha,asilveira@novaes.com,Mollitia,Trancado
108.429.763-96,72660342,Ana Clara Rezende,da-matalivia@da.br,Enim,Trancado
625.081.947-94,23710267,Eduardo Sales,nunesleandro@ramos.br,Ut,Trancado
760.248.953-56,48524004,Cauã Correia,nduarte@ig.com.br,Quos,Ativo
182.940.567-58,41087448,Dra. Isis Farias,portoluiz-felipe@freitas.org,Atque,Trancado
042.751.839-32,23028485,Lívia Castro,fernandesjoao-vitor@hotmail.com,Culpa,Ativo
295.164.370-52,49730668,Breno Alves,pgoncalves@uol.com.br,Repellat,Ativo
083.926.471-22,67182107,Rafaela Alves,da-mataleonardo@almeida.br,Rem,Trancado
493.182.670-96,61570955,Vitor Gabriel Moura,pietro03@hotmail.com,Illo,Trancado
472.513.860-62,11856476,Dr. Alexandre Vieira,smonteiro@dias.org,Quibusdam,Ativo
209.345.186-70,71887082,Caroline Cardoso,ymelo@castro.com,Odit,Inativo
938.460.152-70,84307484,Srta. Ana Pereira,jgomes@fernandes.com,Beatae,Inativo
254.370.198-23,56592575,Murilo Silveira,zsouza@ig.com.br,Dignissimos,Inativo
310.456.879-01,61347396,João Miguel Teixeira,fmoreira@hotmail.com,Excepturi,Inativo
019.364.572-61,67616661,Sr. Matheus Nunes,luiz-fernando52@ferreira.com,Labore,Inativo
602.931.458-06,67755076,Igor Mendes,ldas-neves@lopes.com,Delectus,Trancado
025.463.871-62,68441742,Emanuel Gonçalves,mariane65@bol.com.br,Nesciunt,Ativo
954.260.318-51,54290133,Milena Mendes,caio05@almeida.net,Ex,Inativo
324.071.586-44,98043022,Maria Luiza Peixoto,miguelda-rosa@caldeira.com,Temporibus,Inativo
019.284.536-51,72493769,Ana Vitória Moura,qda-conceicao@alves.com,Ea,Ativo
590.381.426-33,17336626,Dra. Eloah Vieira,guilherme94@farias.br,Quidem,Trancado
287.364.915-19,53632537,Thiago Oliveira,alvesmanuela@yahoo.com.br,Corporis,Ativo
780.529.314-79,97034667,Sra. Evelyn Carvalho,maria-clarasantos@bol.com.br,Magnam,Trancado
682.435.970-00,84918087,Isabel Pires,beatriz42@yahoo.com.br,Nisi,Ativo
594.713.802-60,96170254,Sr. Rodrigo Pereira,isabel96@da.br,Aperiam,Trancado
826.037.914-78,80298994,Erick Aragão,davi-lucca38@yahoo.com.br,Neque,Inativo
963.701.524-80,90736171,Srta. Ana Beatriz Nogueira,rafaela58@yahoo.com.br,Tempora,Ativo
483.091.657-57,38182225,Marcelo Nunes,estherrodrigues@yahoo.com.br,Sapiente,Ativo
785.326.910-21,91572235,Eduarda Caldeira,vitor-hugo15@dias.com,Architecto,Ativo
741.320.658-71,15335108,Joaquim Barbosa,freitasluiz-fernando@sales.br,Corporis,Inativo
941.587.023-05,82162379,Enrico Moura,isabelly75@bol.com.br,Veritatis,Inativo
301.765.942-99,16744120,Lara da Cunha,fernandesmarcela@souza.com,Impedit,Ativo
348.592.016-98,91678049,Luiz Miguel Nascimento,drezende@hotmail.com,Molestias,Ativo
493.072.581-04,23819438,Brenda Monteiro,ryan93@barbosa.com,Autem,Inativo
648.297.315-91,93793324,Eloah Santos,wrezende@duarte.com,Officia,Ativo
395.026.841-33,25702724,Beatriz Rocha,jesusemanuella@gmail.com,Numquam,Ativo
520.147.963-43,20341217,Sophie da Mata,oliveiravitor-gabriel@hotmail.com,Exercitationem,Trancado
329.057.681-77,54116523,João Gabriel da Rosa,cardososophie@gmail.com,Quas,Inativo
519.306.842-15,58787096,Lavínia Aragão,caldeiraeduarda@caldeira.com,Officiis,Inativo
147.362.980-22,56946841,Augusto Pereira,alexiacardoso@hotmail.com,Velit,Inativo
162.847.059-30,56604474,Dr. Marcelo da Mota,pereiradavi-luiz@costa.br,Quos,Inativo
750.248.913-41,29480947,Alana Lima,sarahdias@costela.br,A,Trancado
495.031.682-60,86568988,Rebeca Carvalho,felipe88@pires.com,Sunt,Trancado
456.018.239-60,98072496,Maria Cecília Mendes,castromarcela@rocha.com,Eveniet,Inativo
216.705.389-40,24423536,Thales da Cruz,mirellacosta@hotmail.com,Repellat,Ativo
879.043.162-69,34516197,Alexandre Cavalcanti,jsales@ig.com.br,Possimus,Ativo
081.394.576-39,55018646,Sabrina Sales,leonardomelo@pinto.br,Voluptatem,Inativo
894.371.652-46,62606337,Davi Lucas Gonçalves,xfarias@gmail.com,Quod,Ativo
851.796.023-86,97697237,Luiza Souza,anafreitas@sales.com,Accusamus,Ativo
563.108.279-95,28627411,Levi Melo,inogueira@hotmail.com,Possimus,Ativo
097.128.354-05,50428254,Luiz Miguel da Rosa,da-conceicaomaria-luiza@moreira.br,Neque,Inativo
034.182.759-23,92184737,Daniel da Conceição,heloisa17@barbosa.org,Rem,Inativo
847.025.319-05,79147949,Luiz Gustavo Fernandes,joao-vitor51@uol.com.br,Labore,Ativo
195.083.462-05,72757242,Dr. Lucca Nogueira,alice06@barros.com,Veritatis,Trancado
691.420.857-30,44590271,Felipe Caldeira,sofiasantos@pinto.com,Harum,Inativo
310.784.269-96,16200990,Caroline Porto,pmoura@teixeira.net,Voluptatem,Trancado
271.049.586-49,17327693,Sr. João Lucas Porto,spereira@hotmail.com,Quaerat,Ativo
271.039.465-07,66584220,Lavínia Lopes,pietrada-luz@araujo.com,Fugiat,Ativo
406.519.738-48,69335185,Daniel Vieira,larissasilveira@mendes.br,Esse,Trancado
215.487.630-71,77808094,Maria Clara Moura,pda-luz@dias.com,Suscipit,Inativo
089.357.621-21,12699306,Ana Laura Rodrigues,das-nevespedro-henrique@gmail.com,Corporis,Trancado
968.104.753-20,23577437,Dra. Catarina Vieira,da-pazkaique@moreira.com,Vero,Ativo
931.468.257-91,50968922,Sr. Eduardo Oliveira,leticia21@moreira.org,Inventore,Inativo
428.690.537-38,35853061,Sra. Isadora Martins,garagao@correia.com,Neque,Inativo
360.471.529-61,96099565,Eloah Lima,eduardacosta@gmail.com,Voluptatibus,Trancado
597.204.813-23,77115015,Vitor Gabriel Martins,mariane34@gmail.com,Odit,Ativo
605.231.987-95,10934006,Júlia Freitas,lmendes@bol.com.br,Molestiae,Trancado
047.593.162-99,62332962,Pietra Gonçalves,vitorfernandes@ig.com.br,Veniam,Trancado
524.713.608-07,54587142,Maria Luiza Costa,emanuel61@ig.com.br,Quidem,Inativo
839.541.726-82,31328356,Manuela Campos,benjamindas-neves@cavalcanti.com,Ratione,Ativo
743.065.891-10,80389537,Eloah Silva,ana-livia15@da.com,Dolorem,Trancado
512.734.096-80,46114416,Maysa Fernandes,ida-costa@teixeira.com,Nihil,Ativo
571.268.430-62,78150078,Vitor Gabriel Oliveira,davi-lucaslima@moura.com,Laudantium,Inativo
438.219.507-14,70602526,Gustavo Henrique Campos,lsilva@da.org,Accusantium,Ativo
405.169.837-84,33460263,Sra. Sabrina Teixeira,maria-luiza04@moraes.com,Iusto,Trancado
189.256.043-70,32734340,Sofia da Mata,beniciosantos@ig.com.br,Iure,Ativo
814.625.397-00,33629859,Marina Jesus,silvaenzo-gabriel@bol.com.br,Impedit,Trancado
582.709.413-79,64843060,Maria Monteiro,alexandreduarte@yahoo.com.br,Maiores,Trancado
915.378.204-60,22639606,Daniela Freitas,ana-luiza18@uol.com.br,Natus,Inativo
312.567.908-77,64204380,Enrico Freitas,agathacarvalho@monteiro.com,Accusantium,Inativo
275.194.068-49,15727176,Dr. João Miguel Lopes,joao-miguelda-mota@ig.com.br,Dolore,Ativo
234.608.791-22,99817241,Vitor Farias,wpeixoto@farias.com,Accusamus,Inativo
407.281.695-76,65780507,Isabel Almeida,da-matamaria@uol.com.br,Eligendi,Inativo
216.354.870-80,54538452,João Miguel Lima,fernandestheo@duarte.com,Sunt,Ativo
891.274.635-91,15596059,Henrique Pires,mouraana-sophia@hotmail.com,Velit,Trancado
724.813.596-82,77874718,Rafael Dias,nmonteiro@ig.com.br,Ut,Inativo
719.364.285-55,53845193,Brenda Cavalcanti,da-costajoao-miguel@hotmail.com,Consequatur,Inativo
236.975.084-74,61437648,Dr. Alexandre Duarte,ifogaca@uol.com.br,Libero,Ativo
352.174.986-09,43509085,Pedro Pinto,leandro67@freitas.com,Commodi,Trancado
129.358.470-32,85373726,Melissa Farias,ymoura@hotmail.com,Ipsa,Ativo
150.936.724-16,41531352,Emanuel Costa,isaac51@bol.com.br,Dolorem,Ativo
351.709.426-99,76153276,Pedro Lucas da Conceição,melomilena@gmail.com,Repellat,Trancado
386.927.014-40,97861008,Isadora Cardoso,mribeiro@barros.br,Hic,Ativo
587.940.362-92,80385402,Heitor da Rocha,leandro58@da.com,Facilis,Ativo
623.490.178-69,66258736,Sophia Moreira,noah54@da.br,Nisi,Inativo
214.738.506-90,63433590,Bernardo Nogueira,da-mataana-luiza@barbosa.com,Officiis,Trancado
492.781.605-20,63661959,Rebeca Barros,da-luzthomas@ig.com.br,Similique,Trancado
891.320.765-68,54164285,Joana Jesus,livia43@fogaca.br,Tempore,Trancado
386.194.027-22,25276042,Ana Lívia Moura,levibarros@yahoo.com.br,Voluptate,Ativo
952.463.180-60,62576610,Luiz Henrique Novaes,oliveirafernando@yahoo.com.br,Blanditiis,Trancado
947.561.328-55,39997316,Raquel da Luz,helena06@hotmail.com,Exercitationem,Ativo
983.571.042-23,56116897,Bianca Duarte,joao-pedronovaes@gmail.com,Amet,Trancado
759.142.360-61,67709692,Kevin Costa,bmoraes@da.com,Deleniti,Inativo
413.972.806-03,94903137,Stephany da Cruz,moraesjulia@ig.com.br,Quaerat,Inativo
287.961.340-03,67767413,Cauê Melo,duartemiguel@costa.com,Eum,Ativo
829.145.063-33,25794020,Bianca Cardoso,guilherme47@sales.com,Consequatur,Ativo
278.403.965-00,92951236,Bernardo da Mata,raquelcostela@yahoo.com.br,Doloribus,Trancado
135.046.792-80,68696954,Enrico Moura,fcostela@yahoo.com.br,Quasi,Inativo
206.539.817-59,15262783,Sra. Catarina Campos,gabrielramos@yahoo.com.br,Natus,Inativo
169.840.732-78,65084139,Sra. Ana Vitória das Neves,silveiralevi@yahoo.com.br,Temporibus,Inativo
587.926.143-37,51756159,Stella da Rocha,maria-clarafernandes@ig.com.br,Nobis,Ativo
961.457.832-73,17616819,João Miguel Sales,milenadas-neves@gmail.com,Libero,Inativo
416.027.935-06,28280669,Maria Vitória Mendes,ana-beatriz24@uol.com.br,Quia,Inativo
532.478.169-09,57717622,Sr. Vitor Gonçalves,almeidarenan@das.net,Quam,Ativo
164.730.298-69,98240954,Diego Barros,hda-rocha@gmail.com,Error,Trancado
694.085.273-56,25424017,Bernardo Vieira,da-luzpaulo@gmail.com,Rerum,Ativo
349.016.258-70,73155696,Davi Lucas Teixeira,joao-guilhermebarbosa@da.br,Et,Ativo
350.812.694-33,50306216,Ana Sophia Fernandes,enrico82@hotmail.com,Voluptates,Trancado
837.596.401-84,65236529,Gustavo Freitas,monteirojulia@costela.com,Itaque,Trancado
615.347.298-28,63276039,Sr. Davi Lucca Pires,tfogaca@correia.com,Mollitia,Inativo
679.834.015-66,13271236,Mirella Duarte,melopedro@uol.com.br,Architecto,Trancado
453.912.760-80,38192475,Guilherme Vieira,maria-sophiacosta@fernandes.br,At,Trancado
310.648.752-62,13663583,Sra. Maysa da Costa,da-cruzgabriela@gmail.com,Magni,Inativo
250.173.498-04,37534441,Milena Novaes,jesusmaite@ig.com.br,Necessitatibus,Inativo
475.813.690-48,94316846,Maria Cecília Oliveira,cardosodavi@silveira.br,Neque,Trancado
179.205.438-60,21160240,Alana da Mota,maria-eduarda26@hotmail.com,Amet,Ativo
481.657.209-02,32315590,Lívia da Conceição,jesuslucas-gabriel@novaes.org,Sint,Ativo
256.174.938-09,86808746,Evelyn Pereira,catarina09@yahoo.com.br,Aut,Trancado
013.786.925-86,16395508,Davi Lucca Martins,ryan98@da.br,Nulla,Ativo
540.368.921-42,84230924,Maria Cecília Viana,bpires@ig.com.br,Iure,Inativo
824.967.513-46,57210661,Joana Moraes,da-cunhamaria-clara@uol.com.br,Nemo,Trancado
139.486.507-48,57970080,Dr. Nicolas Peixoto,ida-costa@goncalves.com,Saepe,Inativo
935.641.782-28,34001908,Nicole da Mata,yfernandes@gmail.com,Ut,Ativo
704.965.328-47,94487942,Dr. Levi Barros,kda-cunha@gmail.com,Eveniet,Inativo
659.238.410-70,12227478,Ana Luiza Santos,umoraes@hotmail.com,Facilis,Trancado
169.542.873-00,14960582,Sra. Giovanna Rezende,nbarbosa@peixoto.com,At,Ativo
832.760.941-69,89506675,Erick Sales,thales22@bol.com.br,Repudiandae,Trancado
836.742.015-26,95364394,Emanuelly Lima,carlos-eduardo90@yahoo.com.br,Ad,Inativo
309.748.261-03,21887373,João da Rocha,lopesdaniel@gmail.com,Iure,Trancado
