CO_ALUNO_IDENTIFICADO,CO_ALUNO,NO_ALUNO,NO_MAE_ALUNO,SG_SEXO,DT_DATA_NASCIMENTO,NU_CPF,DS_EMAIL,CO_PESSOA_FISICA_ALUNO,DS_SENHA,CO_MATRICULA,CO_CICLO_MATRICULA,CO_CURSO,NU_CARGA_HORARIA,DT_DATA_INICIO,DT_DATA_FIM_PREVISTO,CO_PERIODO_CADASTRO,NO_CICLO_MATRICULA,CO_TIPO_OFERTA_CURSO,CO_TIPO_INSTITUICAO,CO_PORTFOLIO,NU_VAGAS_OFERTADAS,NU_TOTAL_INSCRITOS,NO_STATUS_MATRICULA,CO_UNIDADE_ENSINO,MES_DE_OCORRENCIA
135310772,164032129,Mariane Barros,Luna Melo,F,1995-09-29,527.849.361-55,cardosodavi-lucas@uol.com.br,519307011,*&PCi(no40,95081814,33368,58483,1000,2024-08-11,2023-06-28,8,voluptas,1,1,6386,34,36,EM_CURSO,402925,4
732592284,241648648,Olivia Viana,Bianca Fogaça,F,1998-04-24,932.186.475-09,noah43@costela.com,933806118,1!Wd$0*#)P,40143950,13996,77520,1000,2024-12-08,2020-06-03,4,vero,5,2,8176,51,48,EM_CURSO,889328,8
248741317,256388127,Joana da Paz,Stephany Duarte,M,1998-03-02,675.980.142-30,duartevitor-gabriel@gmail.com,815870406,OF*a6eCmcH,14030180,96420,91778,1600,2023-06-02,2023-10-05,10,porro,3,1,2701,77,92,EM_CURSO,927793,8
305952180,550916944,Maitê Correia,Brenda Ribeiro,F,2006-08-12,853.964.012-06,fernandaporto@da.com,141304156,#2Vl^Bwg^8,38121385,79486,19128,1000,2021-10-20,2022-05-23,10,sapiente,3,2,2785,46,50,EM_CURSO,525218,10
261966325,366853885,Fernando Santos,Srta. Emanuella Lopes,F,2007-02-01,036.598.471-00,orezende@yahoo.com.br,806602746,MHspY7Kge*,46882556,15978,82597,1600,2020-03-19,2020-12-17,5,quod,4,3,6981,32,61,EM_CURSO,582957,2
910485330,467156100,Bárbara Moreira,Larissa da Costa,F,2006-04-03,516.032.497-61,sabrina37@peixoto.br,541800144,r8BXIcWR$2,32928471,41859,43366,800,2020-04-24,2025-01-23,10,veritatis,1,1,9180,34,52,EM_CURSO,557612,1
842364620,341157738,Daniela Barbosa,Evelyn Moura,F,2004-06-02,839.641.702-40,alexiasilveira@cardoso.br,643682981,b6x7O&a4d*,75828616,51804,61564,800,2022-02-25,2024-01-29,2,ducimus,3,1,9192,65,22,EM_CURSO,935119,5
875530005,691356009,Carlos Eduardo Moura,Dra. Laís Caldeira,F,1996-09-03,382.605.714-71,eduarda43@bol.com.br,669165958,)(2Lq#e$uN,64670249,35681,27353,1000,2021-02-14,2024-10-20,7,id,4,3,5606,61,48,EM_CURSO,893185,10
907880598,750525100,Emanuelly Sales,Sra. Emanuella da Luz,M,2001-01-09,162.304.758-71,tpereira@gmail.com,415306333,I(E9GZtrJ&,54611409,99897,15613,800,2020-01-29,2020-02-20,2,possimus,4,1,4224,79,72,EM_CURSO,918863,7
776299283,445303400,Nicolas Fogaça,Luiza Azevedo,F,2002-02-28,486.519.370-75,ccorreia@yahoo.com.br,839167198,^2Ia8ug3M2,43040420,38370,37114,1200,2022-01-01,2025-02-28,7,quidem,3,3,1291,40,31,EM_CURSO,794116,10
327387729,831327050,Sr. Davi Lucca Aragão,Isabelly Fogaça,F,2005-07-01,130.458.627-80,ssantos@da.com,528912468,_90^Y4wGRZ,82428367,28538,78886,1000,2023-10-31,2022-08-26,6,nesciunt,3,1,4740,31,83,EM_CURSO,490819,10
737234471,284103361,Luiz Fernando Correia,Bárbara Cardoso,F,1999-11-12,132.075.684-08,cauada-rosa@moraes.br,848911932,(mB4)Uy7B_,53608246,59692,37520,800,2022-12-17,2023-07-07,7,magni,5,2,5262,56,80,EM_CURSO,344879,4
377059140,871838834,Matheus da Paz,Srta. Lívia Souza,F,2002-11-24,219.760.543-70,nicole41@bol.com.br,977089217,$Z_W1h9m6_,51503467,35194,36415,800,2020-09-13,2025-02-08,2,neque,5,2,2204,41,29,EM_CURSO,789622,8
829717575,690617591,Lavínia Souza,Srta. Ana Lívia Pinto,F,1995-06-07,562.198.073-59,ypinto@bol.com.br,504236732,si3jDYYk#5,42840155,50609,56726,1200,2024-09-13,2022-05-16,9,voluptate,4,1,6475,71,21,EM_CURSO,582055,4
425562324,763961016,Dr. Pedro Miguel Cardoso,Maitê Fogaça,M,2003-02-14,075.281.346-35,lorenanovaes@uol.com.br,430274877,_56W%e6d2Y,92581034,69916,59350,1600,2023-07-29,2021-01-26,5,aliquid,2,2,3333,38,82,EM_CURSO,560632,12
619628083,537082559,Dr. Davi Gomes,Sra. Ana Clara da Rosa,F,1999-02-02,053.782.469-38,xvieira@nogueira.br,326641457,wRc0Jmt*t),29955588,42490,58331,1200,2021-12-06,2024-09-29,9,asperiores,4,1,6764,56,24,EM_CURSO,126461,2
578827169,265751390,Srta. Nina Rocha,Rebeca Porto,F,2005-04-16,815.463.029-05,mendesyago@yahoo.com.br,771790914,H)3_kRLj6$,39370689,17240,92008,1000,2021-08-13,2023-07-27,2,culpa,2,2,1419,75,38,EM_CURSO,351975,11
164212673,326154466,Gustavo Henrique das Neves,Maria Luiza Fernandes,M,2005-09-10,713.406.598-75,bda-rosa@farias.br,157013864,(AkR(NYx%8,52098801,34816,61925,1000,2020-06-19,2025-05-09,2,nulla,4,2,9879,77,22,EM_CURSO,687601,11
500701984,713437619,Fernanda das Neves,Daniela Correia,M,2004-07-21,467.180.953-20,vitor-gabriel39@gmail.com,514418601,p*Rmu2Mtcy,20031080,50232,42492,800,2023-08-26,2023-01-22,7,hic,4,1,5530,34,88,EM_CURSO,615244,2
995884023,781865348,Dra. Luna Porto,Lorena Sales,M,2005-04-15,764.521.903-34,luiz-felipe89@da.br,534734191,#0All2Sm%H,18199797,82303,78733,1600,2024-04-02,2024-08-28,5,sit,1,3,8954,71,24,EM_CURSO,393713,12
694146586,570653705,Lucca Araújo,Eduarda Lima,F,1998-02-07,845.639.102-60,da-conceicaoana-carolina@alves.br,162946932,+nFb*Vr#Z7,61152294,59393,50949,1600,2022-09-20,2024-12-08,5,enim,3,1,3112,42,64,EM_CURSO,563213,7
353952486,865360992,Vinicius Nascimento,Cecília Monteiro,M,2004-05-17,597.801.436-10,sophiearagao@uol.com.br,663254117,_kECUUxq7r,58846175,68994,83138,1600,2022-01-22,2025-05-23,1,magnam,1,3,9258,35,78,EM_CURSO,576982,6
709542970,847768757,Leonardo Oliveira,Cecília Teixeira,M,2000-05-15,178.604.295-94,ana-beatriz13@bol.com.br,276528910,oB+H1%Yx#8,77297449,74249,17700,1200,2021-07-05,2023-08-05,3,corporis,5,3,7990,31,54,EM_CURSO,700706,8
918913633,315921479,Ana Vitória da Paz,Marcela Rocha,F,1995-04-06,541.382.067-44,moraesmaria-fernanda@duarte.br,434236604,&5G$9bjNSZ,91430440,74068,11078,1000,2021-08-19,2022-08-29,9,nihil,3,1,7395,74,32,EM_CURSO,717272,11
698825402,139285596,Eduarda Ribeiro,Alexia Rodrigues,M,2004-04-02,012.957.683-21,joaquim62@bol.com.br,369437369,eCamzGbB#7,60403132,53543,78970,1200,2022-09-16,2024-09-08,3,totam,5,2,2304,39,81,EM_CURSO,165770,4
506300797,201017688,Luna Pereira,Dra. Caroline Souza,F,1995-03-20,046.751.982-01,ribeiroisabel@carvalho.br,232301066,gn6KKKEZK),96895966,74644,42527,1000,2023-01-22,2023-01-31,4,modi,5,3,5534,42,66,EM_CURSO,150856,9
575883677,349688071,Isadora Alves,Amanda Fogaça,F,2007-03-16,781.204.369-03,maria-ceciliacardoso@aragao.com,541428241,fc@3A22g0V,81987280,13174,86023,1000,2025-04-13,2022-07-09,4,libero,2,2,1920,63,80,EM_CURSO,249997,11
751026157,401871629,Manuela Silva,Maria Vitória Rezende,M,2006-05-20,152.837.964-00,santosmaria-fernanda@yahoo.com.br,432281195,4@2&BxiZF*,52906364,45588,30265,1200,2022-06-27,2020-01-30,2,deleniti,2,1,5658,77,29,EM_CURSO,259788,12
640028298,300506459,Yuri da Rocha,Valentina da Conceição,F,2004-04-23,970.538.124-05,da-pazana-julia@bol.com.br,700693527,(dJtsAg5*4,11129924,97118,55495,1200,2020-06-18,2021-11-10,7,quae,4,2,9506,64,27,EM_CURSO,192295,8
463741261,719695690,Otávio Sales,Srta. Letícia Moreira,M,1996-10-15,624.907.835-56,da-rocharyan@ig.com.br,139033903,$fIPilj*+6,37533775,49424,48282,1000,2021-10-22,2022-07-07,9,assumenda,5,1,7697,31,43,EM_CURSO,136536,8
869352593,919430050,Daniela Silveira,Maria Clara da Mota,F,2006-08-31,574.802.391-14,kaiquelopes@bol.com.br,940100973,Md(6Lsxiyl,87786503,81604,34420,1000,2023-06-07,2024-06-14,7,mollitia,1,2,7737,79,50,EM_CURSO,566946,9
707242270,923799025,Esther Moreira,Sra. Lara Vieira,M,1996-11-30,802.567.491-67,uda-cunha@cardoso.com,346333317,l9+9Cgig+Z,50221914,46983,76827,1000,2023-12-05,2024-03-25,5,earum,4,3,6867,68,47,EM_CURSO,964187,11
274780301,801761013,Laura Teixeira,Ana Caldeira,M,1997-07-03,045.621.378-35,fernandescalebe@yahoo.com.br,205935221,@1Ew4ek*Cn,88619336,44399,84140,1000,2024-08-14,2024-10-24,3,nisi,4,2,4162,69,31,EM_CURSO,480855,2
335686116,570846117,Davi Lucca Gomes,Clarice Vieira,F,2001-07-13,274.063.159-61,wsilveira@yahoo.com.br,257322380,&y!0@FutMp,78156760,66609,63340,1600,2022-03-29,2022-08-21,10,beatae,2,1,4790,80,53,EM_CURSO,593404,7
985359240,288043382,Otávio Silveira,Camila Martins,F,2007-04-09,270.418.693-69,ialmeida@ferreira.br,457944263,^#Eh_!k21X,57894905,42525,99497,800,2020-07-31,2020-04-21,2,itaque,3,2,3074,74,57,EM_CURSO,535223,2
253988364,757274491,João Guilherme Cunha,Melissa Nogueira,F,2000-12-17,085.621.739-59,enovaes@araujo.com,218702176,%R5XNqInTH,73646416,81194,72307,1200,2021-12-15,2023-11-08,7,magni,2,3,8289,80,83,EM_CURSO,130894,7
411516520,546686063,Dra. Júlia Vieira,Agatha Souza,F,2001-03-12,468.759.130-20,alvesleticia@viana.com,149144294,$7zK#^Ki7u,45282779,42303,90977,800,2022-07-08,2023-07-09,4,totam,2,3,9784,60,44,EM_CURSO,682853,6
608968904,370141840,Srta. Emilly Sales,Natália da Rocha,F,2003-11-15,092.473.516-34,eduardoduarte@nogueira.br,159535698,(d0Xb$^j(t,68382172,43883,59710,1200,2020-11-10,2025-03-26,10,tempora,1,3,3160,70,55,EM_CURSO,760966,9
591590472,821535515,Maria Luiza Correia,Ana Carolina Moura,F,2003-09-27,560.324.781-90,mirella98@lopes.br,161758660,KA0#0AkVA$,14338116,12458,51954,1000,2022-10-12,2020-07-28,9,iste,3,3,9784,63,41,EM_CURSO,444083,1
241830036,289746944,Rafael Mendes,Emilly Martins,F,1998-08-10,156.490.723-61,mourasamuel@campos.org,372137079,_PBQncs43!,64484203,67538,26406,1000,2025-02-11,2022-03-12,4,pariatur,5,2,1244,39,50,EM_CURSO,777435,4
321645745,212603749,Sr. Luiz Felipe Cavalcanti,Natália Campos,M,1999-07-04,213.590.847-97,joana47@correia.net,148428282,85d8k6Id_k,51137339,27635,95663,1000,2023-07-24,2022-09-14,4,libero,4,3,9913,50,82,EM_CURSO,861023,1
236981830,609200095,Maria Fernanda Aragão,Dra. Ana Luiza Lopes,M,2004-03-21,426.798.013-69,gomesana-luiza@rodrigues.br,266419888,(24D@PSwPt,71243555,81233,82696,1000,2020-04-16,2020-01-12,8,quisquam,3,1,5796,31,81,EM_CURSO,280966,2
354777743,479835569,João Alves,Maysa Silveira,M,2004-11-06,149.782.530-04,giovannacarvalho@lopes.com,174143809,7zbOosYM&),80433143,86242,71438,800,2023-12-29,2025-02-09,8,minima,5,2,1562,61,32,EM_CURSO,137961,4
431345468,606877225,Maria Duarte,Maria Vitória da Luz,F,1996-09-16,018.369.254-33,freitasvitoria@vieira.org,201799122,^U8WCe)5pI,94122911,23498,42492,1000,2024-11-12,2020-03-01,7,exercitationem,5,2,1882,66,63,EM_CURSO,264209,4
180661723,273124098,Cecília Mendes,Mariana da Cruz,F,1995-10-15,214.876.350-44,murilomoura@ig.com.br,449789748,d!70y8OuGM,89217110,81464,12182,1600,2023-10-01,2020-12-09,7,quo,3,2,5733,68,26,EM_CURSO,906156,7
975367224,714241243,Ryan Monteiro,Clarice Moura,F,1999-04-26,156.487.203-35,agatharocha@gmail.com,153813905,$OoZzHsO+7,46084811,37814,93347,1600,2024-09-29,2020-03-31,9,autem,2,2,5023,68,65,EM_CURSO,791587,5
777685826,461075863,Larissa Vieira,Luna Rezende,F,2006-11-30,531.864.729-46,camposleticia@uol.com.br,534926479,A$A8Ub!lIx,96810886,12438,69749,1000,2021-07-09,2020-08-29,2,iure,3,1,6748,37,31,EM_CURSO,725142,3
267930761,288146732,Brenda Souza,Júlia Pires,F,1996-12-17,568.297.301-12,caue83@cardoso.net,860942432,&JUj3+Gy26,74604042,27608,47837,1200,2020-08-15,2025-04-29,6,autem,4,2,7677,40,74,EM_CURSO,168266,10
787716048,665958309,Kaique Cardoso,Dra. Valentina Cavalcanti,F,2007-04-20,026.384.795-00,fariasluiz-felipe@da.br,416910134,dqbwIZDl@1,56441786,68695,95798,1600,2023-12-29,2021-06-28,7,impedit,3,2,1972,43,51,EM_CURSO,501006,6
476052762,865534986,Kevin Peixoto,Rebeca Moreira,M,2002-01-27,918.073.542-88,valentinacunha@gmail.com,239099565,mh^9ycZt^F,56614458,65498,66143,1600,2021-02-13,2020-01-27,10,consequuntur,4,1,7749,54,56,EM_CURSO,249332,12
743514220,174411206,Srta. Stella Pereira,Marina da Cunha,M,1996-01-07,561.472.389-73,goncalvesmaria-cecilia@hotmail.com,903768242,06qQGEHk^2,65071582,58873,26830,800,2022-09-30,2022-01-11,1,sequi,4,3,8383,48,82,EM_CURSO,217594,1
889039275,365792571,João Pedro Pires,Luna Pereira,M,2002-01-08,127.634.590-99,rafaelagoncalves@lopes.br,796584040,p3sKOf%^$r,55988682,51428,81120,1200,2022-04-07,2023-04-29,5,vitae,5,2,1278,61,72,EM_CURSO,491606,8
205172205,377579515,Rodrigo Fernandes,Isadora Nunes,F,2003-06-23,613.490.278-04,camposrenan@farias.br,268909373,(9qSTLlTV6,48674913,25829,13721,1200,2021-04-25,2022-02-27,6,praesentium,4,1,7493,60,61,EM_CURSO,381721,4
767410624,763885670,Dr. Pedro Miguel da Paz,Agatha da Mata,F,2005-06-11,056.312.748-17,alveslarissa@silveira.br,304878165,a75QQjuw)W,47470236,78370,74064,1200,2024-10-03,2021-04-18,1,facilis,2,2,4887,31,79,EM_CURSO,772898,8
544916338,737732771,Erick Nascimento,Ana Sophia Pereira,M,2004-05-31,685.129.304-89,da-rochathiago@araujo.com,571923518,)2UXnL81CB,43988613,35229,80562,800,2025-04-03,2022-02-13,6,molestiae,3,2,4806,52,66,EM_CURSO,272162,4
622197095,164106659,João Guilherme da Paz,Ana Sophia da Cunha,F,2000-10-14,547.169.032-06,dazevedo@moreira.com,114887134,F__l6ImmBT,67418838,42479,43629,1600,2024-09-24,2022-03-22,9,quisquam,1,1,2830,32,68,EM_CURSO,467075,3
718238276,924962602,Rafael Costa,Isabella da Cruz,F,1995-07-20,403.129.756-43,rlopes@da.br,912892119,k4+sCRrC*&,63628238,84729,69948,800,2025-01-15,2024-09-19,9,ullam,1,2,6083,58,85,EM_CURSO,116135,12
366615368,859396988,Ana Clara Silva,Dra. Raquel Mendes,F,2002-08-03,742.950.163-06,tsilva@gmail.com,403165754,SzBVCvMq_4,61584167,34858,21146,1600,2020-09-26,2022-10-22,5,placeat,2,2,3825,34,94,EM_CURSO,983647,3
996712150,434789536,Daniel Moura,Luiza Almeida,F,2002-06-30,157.264.309-99,lopesbreno@ferreira.org,898180028,$swnSfeR02,76856295,64048,51850,800,2024-02-01,2020-11-07,8,excepturi,2,3,6849,70,32,EM_CURSO,916142,9
375625811,172263856,Lara Barros,Ana Julia da Cunha,M,1996-08-10,894.371.206-50,benicio17@moreira.net,478204852,u4IfF^cV*3,52067779,64464,31882,1000,2024-05-10,2020-09-12,2,est,3,3,5247,34,95,EM_CURSO,368937,6
185138524,327822894,João Lucas Castro,Marcela Aragão,M,2005-04-25,510.324.978-23,paulo88@bol.com.br,277303102,hj^1(EepnP,40987749,82728,38683,1000,2022-07-18,2023-06-14,6,sit,2,2,6070,78,100,EM_CURSO,360628,4
635259515,103827010,Larissa Souza,Maitê Cardoso,M,1998-03-29,045.937.861-93,ana-luiza44@yahoo.com.br,552395412,@eZ2(6vo6Z,47808537,56836,10825,800,2020-10-02,2024-05-23,5,nam,5,1,3482,73,41,EM_CURSO,839716,12
337313692,382342374,Pedro Henrique Farias,Sra. Luna Pereira,M,1996-01-28,401.928.753-88,ccostela@da.net,988824788,!6HnNki!Yy,34575668,18104,88608,1000,2022-11-04,2025-05-07,4,unde,4,1,5598,67,97,EM_CURSO,231066,8
446750513,131364124,Otávio Mendes,Manuela Nunes,M,1998-10-07,410.358.972-88,alexandre90@yahoo.com.br,814244664,8M+&p8Wn)e,26560848,61689,63068,1000,2024-09-29,2022-07-31,10,tempora,4,1,5250,37,50,EM_CURSO,807572,6
150205533,544971879,Isis Azevedo,Sarah Teixeira,M,2003-11-29,605.783.491-75,gabrielly87@yahoo.com.br,277057279,(1sD1dHw*),12187259,89467,81718,1200,2022-02-15,2023-02-19,3,libero,5,2,9588,68,98,EM_CURSO,736474,3
735674066,874476715,Emanuel Sales,Dra. Stella Sales,M,1995-11-03,720.961.435-43,qribeiro@almeida.com,455793689,$m9Bvbe*X6,25281831,61799,38603,1000,2023-09-16,2022-06-01,2,neque,2,3,4728,71,53,EM_CURSO,877265,1
353593521,705981724,Sr. Bernardo Castro,Bianca Cavalcanti,M,2007-05-05,148.769.305-20,carolinafogaca@teixeira.br,202960929,I%7L1Gx@4h,29708076,70642,41217,800,2022-07-20,2025-03-16,8,ab,2,2,3562,48,56,EM_CURSO,605576,4
897638378,606017211,Brenda Campos,Cecília da Luz,M,2006-03-14,597.623.841-64,larissa59@uol.com.br,692601776,)sAjmfubq1,88121394,20874,22114,800,2020-04-24,2021-04-05,3,nesciunt,1,1,9541,46,48,EM_CURSO,347325,8
419717930,256666132,Fernando Aragão,Raquel Moura,M,1995-03-12,613.248.709-31,elisacavalcanti@nascimento.com,312638006,j7+&3Sb4^t,35597043,85823,24790,1600,2022-12-27,2022-10-14,10,fuga,5,2,2613,41,79,EM_CURSO,292101,3
127736078,839646661,Sophia da Rosa,Srta. Juliana Rocha,M,1999-03-12,507.694.812-30,emanuel19@uol.com.br,599138971,uP(3IXErP(,52089094,80912,63610,800,2021-08-22,2022-08-22,7,et,2,1,5224,45,89,EM_CURSO,240421,1
425933821,782470027,Kaique Caldeira,Stephany Peixoto,F,2005-12-14,935.124.867-46,gpinto@uol.com.br,323127591,73ZSEzFu_Q,68227540,65680,54548,1000,2020-08-23,2022-02-25,2,quibusdam,4,3,8122,80,55,EM_CURSO,818304,3
629968119,844125080,Breno Moura,Clarice Almeida,F,2005-09-06,168.495.320-06,rodriguesaugusto@lopes.br,845323739,6joDZ$G2_W,98168748,46702,14777,1000,2022-07-25,2022-11-28,8,numquam,1,3,6421,53,35,EM_CURSO,906486,3
376389389,222305228,Sr. Davi Luiz Araújo,Júlia das Neves,M,2003-06-25,274.508.316-35,castrorafael@gmail.com,765789077,wr3QyyCdL^,55784696,58191,86191,1600,2022-11-01,2020-11-06,3,veniam,5,1,8290,35,44,EM_CURSO,341916,5
761099946,981944283,Vitória Sales,Ana Laura da Cruz,M,2006-08-03,429.067.183-78,ynunes@uol.com.br,202408606,C2Q20mUb)3,85282856,67484,59027,1000,2021-08-16,2021-09-30,6,iste,5,2,7118,42,62,EM_CURSO,685217,9
862304771,842741102,Sra. Maria Clara Souza,Ana Clara Dias,M,2006-08-18,185.423.790-04,nmonteiro@fernandes.net,541242825,^b1YbM6@00,13905384,62068,98067,1600,2023-04-08,2020-10-28,6,sed,2,1,6928,36,75,EM_CURSO,527261,6
607752152,164756731,Yuri Ferreira,Ana Luiza Dias,M,1994-06-23,079.614.253-06,thomasaragao@yahoo.com.br,519369151,&mQOpgdK4T,82278065,55757,89686,1000,2021-11-30,2022-03-18,8,ad,4,1,7460,44,39,EM_CURSO,645559,4
420991949,995553742,Juan Cardoso,Sra. Ana Lívia Alves,M,2000-06-09,786.540.312-71,davi-lucasferreira@yahoo.com.br,676981822,grxvgJaS$7,25737701,43962,99313,800,2024-04-09,2021-06-17,8,veritatis,5,2,3337,65,63,EM_CURSO,768369,2
818553877,767981565,Camila Nascimento,Fernanda Azevedo,F,1997-10-30,874.632.059-83,ana-laura80@da.com,652151059,$OktMGtV2U,23737504,28319,88942,800,2022-04-21,2022-05-18,3,debitis,5,1,2738,66,42,EM_CURSO,953538,4
728980457,613295794,Maria Moraes,Luana Ribeiro,F,2000-07-31,584.231.706-08,matheus71@hotmail.com,761063818,^n!@SZEfq0,61121102,10651,17301,800,2021-07-11,2020-06-15,9,magnam,4,2,7099,75,72,EM_CURSO,835903,12
529947592,774084016,Maria Clara Nunes,Kamilly Cardoso,M,2000-01-19,619.354.807-66,erodrigues@bol.com.br,758996189,!w7jZ+SdSW,48441116,74102,25267,1600,2021-06-13,2024-09-10,5,repellendus,1,3,2607,50,52,EM_CURSO,148260,9
960840380,675778345,Henrique Oliveira,Ana Júlia Silva,M,2006-07-12,367.941.052-25,ana-sophia29@bol.com.br,806061903,^JMIRlTvZ5,30177328,86048,34512,1200,2023-04-16,2020-04-26,4,nostrum,1,2,5023,35,30,EM_CURSO,422898,5
827412784,304265707,Sr. Luiz Fernando Viana,Rebeca Souza,F,1997-05-27,382.460.597-00,jesusalana@yahoo.com.br,565354241,9T0IHeU()X,82612850,39679,58455,1200,2022-03-08,2021-04-24,10,harum,2,1,8414,70,38,EM_CURSO,726765,11
496671820,436339604,Julia Fogaça,Clarice Farias,F,1995-02-25,047.518.963-93,emillylopes@duarte.br,801024665,LWj8PjnaI!,17041948,89079,19733,1600,2021-06-26,2022-09-08,10,nam,1,3,5915,38,97,EM_CURSO,267753,2
648507906,443676248,Sra. Ana Lopes,Sra. Stella da Paz,M,2007-03-17,437.925.061-06,gbarbosa@fernandes.com,695274885,&R%(!G(s4f,92617464,62126,31328,1000,2020-12-19,2023-09-11,3,provident,5,3,9381,80,51,EM_CURSO,651897,6
